"","EC.value","PT","PR","study","vp"
"1",3.14285714285714,3.57142857142857,5.88888888888889,"fmri",1
"2",3.14285714285714,3.42857142857143,5.88888888888889,"fmri",2
"3",3,2.85714285714286,5.66666666666667,"fmri",3
"4",3.42857142857143,3.57142857142857,6,"fmri",4
"5",3,3,4.77777777777778,"fmri",5
"6",2.85714285714286,3.14285714285714,6.66666666666667,"fmri",6
"7",3.14285714285714,2.85714285714286,6,"fmri",7
"8",3.42857142857143,2.42857142857143,5.33333333333333,"fmri",8
"9",3.28571428571429,2.85714285714286,5.11111111111111,"fmri",9
"10",3.42857142857143,3.85714285714286,6.33333333333333,"fmri",10
"11",3.28571428571429,3.57142857142857,6.11111111111111,"fmri",11
"12",3.14285714285714,3.42857142857143,6.44444444444444,"fmri",12
"13",3.42857142857143,3.71428571428571,5.11111111111111,"fmri",13
"14",3,2.42857142857143,6,"fmri",14
"15",2.71428571428571,3.71428571428571,5.88888888888889,"fmri",15
"16",3.14285714285714,3.14285714285714,5.44444444444444,"fmri",16
"17",3,3.85714285714286,5.88888888888889,"fmri",17
"18",2.57142857142857,3.42857142857143,6.66666666666667,"fmri",18
"19",3.14285714285714,3.28571428571429,6.33333333333333,"fmri",19
"20",2.71428571428571,3.28571428571429,5.22222222222222,"fmri",20
"21",3.71428571428571,3.42857142857143,6,"fmri",21
"22",3.42857142857143,4,6.55555555555556,"fmri",22
"23",3,3.57142857142857,6.33333333333333,"fmri",23
"24",2.85714285714286,3.14285714285714,5.44444444444444,"fmri",24
"25",3.14285714285714,3.85714285714286,6,"fmri",25
"26",3.14285714285714,3.57142857142857,5.88888888888889,"fmri",26
"27",3,3.42857142857143,6.33333333333333,"fmri",27
"28",3.28571428571429,3.14285714285714,5.22222222222222,"fmri",28
"29",3.14285714285714,3.28571428571429,6.33333333333333,"fmri",29
"30",2.57142857142857,3.28571428571429,5.44444444444444,"fmri",30
"31",3.42857142857143,2.71428571428571,4.66666666666667,"fmri",31
"32",3,4,5.77777777777778,"fmri",32
"33",2.85714285714286,3.28571428571429,5.33333333333333,"fmri",33
"34",3.57142857142857,3.85714285714286,6.88888888888889,"fmri",34
"35",3.28571428571429,3.14285714285714,6.11111111111111,"fmri",35
"36",3.28571428571429,3,6.22222222222222,"fmri",36
"37",3.57142857142857,3.14285714285714,5.55555555555556,"fmri",37
"38",3.28571428571429,3.14285714285714,6.77777777777778,"fmri",38
"39",3.57142857142857,3.71428571428571,6.22222222222222,"fmri",39
"40",2.85714285714286,2.42857142857143,5.44444444444444,"fmri",40
"41",2.57142857142857,3.28571428571429,5.11111111111111,"fmri",41
"42",3.14285714285714,2.85714285714286,6,"fmri",42
"43",2.85714285714286,3.28571428571429,6.22222222222222,"fmri",43
"44",3.14285714285714,3,5,"fmri",44
"45",3,3.14285714285714,6.66666666666667,"fmri",45
"46",3.14285714285714,3.57142857142857,5.66666666666667,"fmri",46
"47",3.14285714285714,3.71428571428571,5.77777777777778,"replication",47
"48",2.71428571428571,3.28571428571429,6,"replication",48
"49",2.71428571428571,3.42857142857143,5.11111111111111,"replication",49
"50",3.42857142857143,3.42857142857143,6.44444444444444,"replication",50
"51",2.71428571428571,3.71428571428571,5.66666666666667,"replication",51
"52",3.14285714285714,3.14285714285714,5.88888888888889,"replication",52
"53",2.57142857142857,3.28571428571429,5.77777777777778,"replication",53
"54",3.42857142857143,3.57142857142857,6.22222222222222,"replication",54
"55",3.14285714285714,2.57142857142857,5,"replication",55
"56",3,2.57142857142857,5.22222222222222,"replication",56
"57",3.42857142857143,3.85714285714286,6.22222222222222,"replication",57
"58",3.71428571428571,2.71428571428571,6,"replication",58
"59",2.85714285714286,3.28571428571429,6.44444444444444,"replication",59
"60",3.42857142857143,3.42857142857143,6.22222222222222,"replication",60
"61",3.14285714285714,3.14285714285714,6.11111111111111,"replication",61
"62",3.42857142857143,3.57142857142857,6,"replication",62
"63",2.57142857142857,2.42857142857143,5.55555555555556,"replication",63
"64",3.14285714285714,3.42857142857143,5.22222222222222,"replication",64
"65",3.14285714285714,3.85714285714286,5.88888888888889,"replication",65
"66",3.14285714285714,3.14285714285714,5.77777777777778,"replication",66
"67",3.14285714285714,3.57142857142857,5.88888888888889,"replication",67
"68",3.28571428571429,3.85714285714286,7,"replication",68
"69",3.14285714285714,3,5.66666666666667,"replication",69
"70",3.28571428571429,3.71428571428571,6.44444444444444,"replication",70
"71",2.71428571428571,3.42857142857143,6.22222222222222,"replication",71
"72",4.14285714285714,3.85714285714286,6.33333333333333,"replication",72
"73",2.71428571428571,3.28571428571429,6.22222222222222,"replication",73
"74",3.28571428571429,3.57142857142857,5.88888888888889,"control",74
"75",3,2.57142857142857,5.55555555555556,"control",75
"76",2.85714285714286,3.42857142857143,6.33333333333333,"control",76
"77",2.71428571428571,3.57142857142857,6.44444444444444,"control",77
"78",2.42857142857143,3.14285714285714,5.55555555555556,"control",78
"79",3,3.14285714285714,4.22222222222222,"control",79
"80",3.28571428571429,3.28571428571429,6.55555555555556,"control",80
"81",2.85714285714286,3.14285714285714,4.88888888888889,"control",81
"82",3.14285714285714,3.42857142857143,5.88888888888889,"control",82
"83",3.14285714285714,3.28571428571429,6.22222222222222,"control",83
"84",3.28571428571429,3,4.88888888888889,"control",84
"85",2.71428571428571,3.85714285714286,5.55555555555556,"control",85
"86",3,3.28571428571429,7,"control",86
"87",3.42857142857143,2.85714285714286,6.33333333333333,"control",87
"88",2.85714285714286,2.71428571428571,5.44444444444444,"control",88
"89",3.42857142857143,3.42857142857143,6.44444444444444,"control",89
"90",3,3.57142857142857,4.77777777777778,"control",90
"91",2.42857142857143,3.28571428571429,5.66666666666667,"control",91
"92",3.57142857142857,2.28571428571429,5.66666666666667,"control",92
"93",3.57142857142857,3.57142857142857,6,"control",93
"94",2.85714285714286,3.71428571428571,5.66666666666667,"control",94
"95",3,3.71428571428571,5.22222222222222,"control",95
"96",3.14285714285714,3.28571428571429,6.22222222222222,"control",96
"97",4.28571428571429,3.42857142857143,6,"control",97
"98",4,3.57142857142857,6,"control",98
"99",2.42857142857143,3.71428571428571,5.66666666666667,"control",99
"100",3,2.85714285714286,6,"control",100
